amplifier_id,mea1k_el,pad_id,depth,shank_id,y,x,metal,zone,y_order,x_order,pad_diameter_um,r,g,b,a,shank_name,y_aligned,x_aligned,el_pair,shank_side,mea1k_connectivity,connectivity_order,routed
1,15775,524.0,3120.0,1.0,811.0,1088.0,2.0,3.0,11.0,14.0,30.0,107.0,165.0,205.0,1.0,anterior_short_shank,1258.0,2714.0,73.0,right,38.00629039758024,2.0,False
463,20435,395.0,3690.0,1.0,463.0,386.0,1.0,2.0,6.0,5.0,30.0,71.0,151.0,197.0,1.0,anterior_short_shank,1606.0,3416.0,30.0,left,38.22622769582211,1.0,True
467,23954,434.0,5970.0,1.0,164.0,391.0,1.0,3.0,2.0,5.0,30.0,4.0,82.0,128.0,1.0,anterior_short_shank,1905.0,3411.0,49.0,left,36.66289444840421,3.0,False
471,23295,435.0,3780.0,1.0,237.0,393.0,2.0,3.0,3.0,5.0,30.0,62.0,147.0,194.0,1.0,anterior_short_shank,1832.0,3409.0,31.0,left,38.06048975035462,2.0,False
483,22211,410.0,4530.0,1.0,317.0,97.0,1.0,2.0,8.0,1.0,30.0,21.0,123.0,181.0,1.0,anterior_short_shank,1752.0,3705.0,37.0,left,37.39582714981761,1.0,True
487,19568,391.0,1020.0,1.0,536.0,169.0,2.0,2.0,5.0,2.0,30.0,211.0,211.0,231.0,1.0,anterior_short_shank,1533.0,3633.0,8.0,left,38.16544253850957,1.0,True
491,23307,413.0,2460.0,1.0,244.0,169.0,2.0,2.0,9.0,2.0,30.0,146.0,182.0,215.0,1.0,anterior_short_shank,1825.0,3633.0,20.0,left,38.15777026893259,1.0,True
507,18460,381.0,420.0,1.0,608.0,312.0,2.0,2.0,4.0,4.0,30.0,229.0,226.0,239.0,1.0,anterior_short_shank,1461.0,3490.0,3.0,left,38.73596888024227,1.0,True
515,22195,436.0,5910.0,1.0,309.0,393.0,1.0,3.0,4.0,5.0,30.0,4.0,85.0,133.0,1.0,anterior_short_shank,1760.0,3409.0,50.0,right,38.29570812963924,1.0,True
523,20405,494.0,2190.0,1.0,453.0,918.0,1.0,3.0,6.0,12.0,30.0,159.0,186.0,217.0,1.0,anterior_short_shank,1616.0,2884.0,81.0,right,38.47778441424221,1.0,True
527,21293,472.0,5820.0,1.0,382.0,758.0,2.0,3.0,5.0,10.0,30.0,5.0,90.0,140.0,1.0,anterior_short_shank,1687.0,3044.0,48.0,left,38.1988308904405,1.0,True
531,18878,466.0,3990.0,1.0,596.0,684.0,1.0,3.0,8.0,9.0,30.0,52.0,143.0,192.0,1.0,anterior_short_shank,1473.0,3118.0,66.0,right,38.46954027750679,1.0,True
535,21311,442.0,4140.0,1.0,382.0,466.0,2.0,3.0,5.0,6.0,30.0,44.0,138.0,189.0,1.0,anterior_short_shank,1687.0,3336.0,34.0,left,37.91068962265882,2.0,False
539,23057,461.0,5220.0,1.0,237.0,683.0,2.0,3.0,3.0,9.0,30.0,6.0,104.0,163.0,1.0,anterior_short_shank,1832.0,3119.0,43.0,left,38.68544904255511,1.0,True
543,22177,462.0,4230.0,1.0,310.0,684.0,1.0,3.0,4.0,9.0,30.0,37.0,133.0,186.0,1.0,anterior_short_shank,1759.0,3118.0,64.0,right,38.33454837508332,1.0,True
547,15780,511.0,3840.0,1.0,811.0,1000.0,2.0,3.0,11.0,13.0,30.0,61.0,147.0,194.0,1.0,anterior_short_shank,1258.0,2802.0,67.0,right,38.24924791052777,1.0,True
551,20634,473.0,3510.0,1.0,452.0,760.0,1.0,3.0,6.0,10.0,30.0,80.0,154.0,198.0,1.0,anterior_short_shank,1617.0,3042.0,70.0,right,38.011090978448834,1.0,True
555,24814,468.0,5580.0,1.0,94.0,760.0,2.0,3.0,1.0,10.0,30.0,4.0,95.0,148.0,1.0,anterior_short_shank,1975.0,3042.0,46.0,left,38.21830854300754,2.0,False
559,25055,433.0,3660.0,1.0,93.0,393.0,2.0,3.0,1.0,5.0,30.0,70.0,150.0,196.0,1.0,anterior_short_shank,1976.0,3409.0,30.0,left,38.00194667622899,1.0,True
563,23947,445.0,5310.0,1.0,166.0,538.0,1.0,3.0,2.0,7.0,30.0,4.0,101.0,158.0,1.0,anterior_short_shank,1903.0,3264.0,55.0,right,38.335916350446496,1.0,True
567,25926,443.0,5430.0,1.0,22.0,537.0,1.0,3.0,0.0,7.0,30.0,4.0,98.0,154.0,1.0,anterior_short_shank,2047.0,3265.0,54.0,right,37.48187642433678,1.0,True
571,17554,476.0,5880.0,1.0,668.0,760.0,2.0,3.0,9.0,10.0,30.0,4.0,86.0,135.0,1.0,anterior_short_shank,1401.0,3042.0,50.0,right,38.54242359901434,1.0,True
579,21307,448.0,4500.0,1.0,382.0,538.0,2.0,3.0,5.0,7.0,30.0,23.0,124.0,182.0,1.0,anterior_short_shank,1687.0,3264.0,37.0,left,38.483300521725496,1.0,True
587,22411,441.0,5550.0,1.0,309.0,464.0,1.0,3.0,4.0,6.0,30.0,4.0,95.0,150.0,1.0,anterior_short_shank,1760.0,3338.0,53.0,right,38.66655467774002,1.0,True
455,24847,424.0,3180.0,1.0,94.0,172.0,2.0,3.0,1.0,2.0,30.0,102.0,163.0,204.0,1.0,anterior_short_shank,1975.0,3630.0,26.0,left,37.93908174895715,1.0,True
451,18455,380.0,2850.0,1.0,607.0,385.0,1.0,2.0,4.0,5.0,30.0,123.0,172.0,209.0,1.0,anterior_short_shank,1462.0,3417.0,23.0,left,38.41073903321034,1.0,True
447,18687,383.0,540.0,1.0,607.0,169.0,2.0,2.0,4.0,2.0,30.0,226.0,223.0,238.0,1.0,anterior_short_shank,1462.0,3633.0,4.0,left,38.39080399153957,2.0,False
443,24830,438.0,3900.0,1.0,93.0,466.0,2.0,3.0,1.0,6.0,30.0,55.0,144.0,192.0,1.0,anterior_short_shank,1976.0,3336.0,32.0,left,38.31103083941301,2.0,False
263,19576,393.0,1140.0,1.0,535.0,24.0,2.0,2.0,5.0,0.0,30.0,208.0,209.0,230.0,1.0,anterior_short_shank,1534.0,3778.0,9.0,left,37.39384724526208,1.0,True
267,20228,398.0,1500.0,1.0,463.0,169.0,2.0,2.0,6.0,2.0,30.0,191.0,201.0,225.0,1.0,anterior_short_shank,1606.0,3633.0,12.0,left,38.17810779952338,2.0,False
275,23316,415.0,2580.0,1.0,244.0,23.0,2.0,2.0,9.0,0.0,30.0,137.0,177.0,212.0,1.0,anterior_short_shank,1825.0,3779.0,21.0,left,38.01371529137658,1.0,True
279,20456,400.0,1620.0,1.0,463.0,23.0,2.0,2.0,6.0,0.0,30.0,186.0,198.0,224.0,1.0,anterior_short_shank,1606.0,3779.0,13.0,left,38.18976993234869,2.0,False
