ephys_bin_id,frame_velocity,frame_acceleration,frame_raw,frame_yaw,frame_pitch,lick_count,frame_position,reward-sound_count,reward-valve-open_count,bin_start,bin_end
"(1880000, 1920000]",0.0,0.0,163.0,-57.0,-462.0,0.0,0.0,0.0,0.0,1880000,1920000
"(1920000, 1960000]",0.0,0.0,150.0,-42.666666666666664,-227.33333333333334,0.0,0.0,0.0,0.0,1920000,1960000
"(1960000, 2000000]",0.0,0.0,187.0,-63.0,-158.0,0.0,0.0,0.0,0.0,1960000,2000000
"(2000000, 2040000]",0.0,0.0,235.0,-81.0,-123.0,0.0,0.0,0.0,0.0,2000000,2040000
"(2040000, 2080000]",0.0,0.0,314.0,-89.5,-91.0,0.0,0.0,0.0,0.0,2040000,2080000
"(2080000, 2120000]",0.0,0.0,391.5,-112.5,-72.0,0.0,0.0,0.0,0.0,2080000,2120000
"(2120000, 2160000]",0.0,0.0,480.6666666666667,-103.66666666666667,-58.333333333333336,0.0,0.0,0.0,0.0,2120000,2160000
"(2160000, 2200000]",0.0,0.0,535.0,-98.5,-45.5,0.0,0.0,0.0,0.0,2160000,2200000
"(2200000, 2240000]",0.0,0.0,577.0,-113.0,-36.333333333333336,0.0,0.0,0.0,0.0,2200000,2240000
"(2240000, 2280000]",0.0,0.0,597.5,-134.5,-60.5,0.0,0.0,0.0,0.0,2240000,2280000
"(2280000, 2320000]",0.0,0.0,668.5,-165.5,-90.0,0.0,0.0,0.0,0.0,2280000,2320000
"(2320000, 2360000]",0.0,0.0,661.0,-151.66666666666666,-109.33333333333333,0.0,0.0,0.0,0.0,2320000,2360000
"(2360000, 2400000]",0.0,0.0,633.0,-126.5,-129.5,0.0,0.0,0.0,0.0,2360000,2400000
"(2400000, 2440000]",0.0,0.0,510.3333333333333,-88.66666666666667,-115.0,0.0,0.0,0.0,0.0,2400000,2440000
"(2440000, 2480000]",0.0,0.0,510.5,-80.0,-126.5,0.0,0.0,0.0,0.0,2440000,2480000
"(2480000, 2520000]",0.0,0.0,532.5,-68.0,-133.5,0.0,0.0,0.0,0.0,2480000,2520000
"(2520000, 2560000]",0.0,0.0,560.3333333333334,-71.0,-132.33333333333334,0.0,0.0,0.0,0.0,2520000,2560000
"(2560000, 2600000]",0.0,0.0,556.0,-72.5,-115.5,0.0,0.0,0.0,0.0,2560000,2600000
"(2600000, 2640000]",0.0,0.0,574.6666666666666,-74.33333333333333,-112.66666666666667,0.0,0.0,0.0,0.0,2600000,2640000
"(2640000, 2680000]",0.0,0.0,585.0,-66.0,-113.5,0.0,0.0,0.0,0.0,2640000,2680000
"(2680000, 2720000]",0.0,0.0,647.0,-67.5,-126.0,0.0,0.0,0.0,0.0,2680000,2720000
"(2720000, 2760000]",0.0,0.0,651.0,-50.333333333333336,-118.33333333333333,0.0,0.0,0.0,0.0,2720000,2760000
"(2760000, 2800000]",0.0,0.0,608.5,-16.5,-78.5,0.0,0.0,0.0,0.0,2760000,2800000
"(2800000, 2840000]",0.0,0.0,665.3333333333334,-10.666666666666666,-76.66666666666667,0.0,0.0,0.0,0.0,2800000,2840000
"(2840000, 2880000]",0.0,0.0,854.5,-16.5,-75.0,0.0,0.0,0.0,0.0,2840000,2880000
"(2880000, 2920000]",0.0,0.0,671.5,-9.5,-56.5,0.0,0.0,0.0,0.0,2880000,2920000
"(2920000, 2960000]",0.0,0.0,688.0,50.0,-79.0,0.0,0.0,0.0,0.0,2920000,2960000
"(2960000, 3000000]",0.0,0.0,655.6666666666666,24.0,-67.0,0.0,0.0,0.0,0.0,2960000,3000000
"(3000000, 3040000]",0.0,0.0,736.0,-13.0,-65.5,0.0,0.0,0.0,0.0,3000000,3040000
"(3040000, 3080000]",0.0,0.0,724.5,1.5,-71.5,0.0,0.0,0.0,0.0,3040000,3080000
"(3080000, 3120000]",0.0,0.0,655.6666666666666,40.333333333333336,-76.66666666666667,0.0,0.0,0.0,0.0,3080000,3120000
"(3120000, 3160000]",0.0,0.0,691.0,56.5,-104.0,0.0,0.0,0.0,0.0,3120000,3160000
"(3160000, 3200000]",0.0,0.0,681.0,37.0,-89.5,0.0,0.0,0.0,0.0,3160000,3200000
"(3200000, 3240000]",0.0,0.0,644.6666666666666,54.666666666666664,-103.33333333333333,0.0,0.0,0.0,0.0,3200000,3240000
"(3240000, 3280000]",0.0,0.0,585.5,46.5,-92.5,0.0,0.0,0.0,0.0,3240000,3280000
